R_ISET (E24),I_CHG (mA),ISET pin voltage,Notes
620Ω,1435 mA,2.225 V,
680Ω,1309 mA,2.225 V,
750Ω,1187 mA,2.225 V,
820Ω,1085 mA,2.225 V,
910Ω your R4,978 mA,2.225 V,
1kΩ,890 mA,2.225 V,
1.10kΩ,809 mA,2.225 V,
1.20kΩ,742 mA,2.225 V,
1.30kΩ,685 mA,2.225 V,
1.50kΩ,593 mA,2.225 V,
1.60kΩ,556 mA,2.225 V,
1.80kΩ,494 mA,2.225 V,
2kΩ,445 mA,2.225 V,
2.20kΩ,405 mA,2.225 V,
2.40kΩ,371 mA,2.225 V,
2.70kΩ,330 mA,2.225 V,
3kΩ,297 mA,2.225 V,
3.30kΩ,270 mA,2.225 V,
3.60kΩ,247 mA,2.225 V,
3.90kΩ,228 mA,2.225 V,
4.30kΩ,207 mA,2.225 V,
4.70kΩ,189 mA,2.225 V,
5.10kΩ,175 mA,2.225 V,
5.60kΩ,159 mA,2.225 V,
6.20kΩ,144 mA,2.225 V,
6.80kΩ,131 mA,2.225 V,
7.50kΩ,119 mA,2.225 V,
8.20kΩ,109 mA,2.225 V,
Formula: I_CHG = 890 / R_ISET. Range 590Ω–8.9kΩ. ISET pin voltage = I_CHG × R_ISET / 400 (monitor via ADC). Your R4 = 910Ω highlighted.,,,
