R_ITERM (E24),I_TERM @ R4=910Ω,I_TERM @ R4=1.8kΩ,% of I_CHG (910Ω),Notes
100Ω,3 mA,2 mA,0%,
110Ω,4 mA,2 mA,0%,
120Ω,4 mA,2 mA,0%,
130Ω,4 mA,2 mA,0%,
150Ω,5 mA,3 mA,1%,
160Ω,5 mA,3 mA,1%,
180Ω,6 mA,3 mA,1%,
200Ω,7 mA,3 mA,1%,
220Ω,7 mA,4 mA,1%,
240Ω,8 mA,4 mA,1%,
270Ω,9 mA,5 mA,1%,
300Ω,10 mA,5 mA,1%,
330Ω,11 mA,6 mA,1%,
360Ω,12 mA,6 mA,1%,
390Ω,13 mA,7 mA,1%,
430Ω,14 mA,7 mA,1%,
470Ω,15 mA,8 mA,2%,
510Ω,17 mA,8 mA,2%,
560Ω,18 mA,9 mA,2%,
620Ω,20 mA,10 mA,2%,
680Ω,22 mA,11 mA,2%,
750Ω,25 mA,13 mA,3%,
820Ω,27 mA,14 mA,3%,
910Ω,30 mA,15 mA,3%,
1kΩ,33 mA,17 mA,3%,
1.10kΩ,36 mA,18 mA,4%,
1.20kΩ,40 mA,20 mA,4%,
1.30kΩ,43 mA,22 mA,4%,
1.50kΩ,49 mA,25 mA,5%,
1.60kΩ,53 mA,27 mA,5%,
1.80kΩ,59 mA,30 mA,6%,
2kΩ,66 mA,33 mA,7%,
2.20kΩ,73 mA,37 mA,7%,
2.40kΩ,79 mA,40 mA,8%,
2.70kΩ,89 mA,45 mA,9%,
3kΩ your R11,99 mA,50 mA,10%,
3.30kΩ,109 mA,55 mA,11%,
3.60kΩ,119 mA,60 mA,12%,
3.90kΩ,129 mA,65 mA,13%,
4.30kΩ,142 mA,72 mA,14%,
4.70kΩ,155 mA,78 mA,16%,
5.10kΩ,168 mA,85 mA,17%,
5.60kΩ,185 mA,93 mA,19%,
6.20kΩ,204 mA,103 mA,21%,
6.80kΩ,224 mA,113 mA,23%,
7.50kΩ,247 mA,125 mA,25%,
8.20kΩ,270 mA,137 mA,28%,
9.10kΩ,300 mA,152 mA,31%,
10kΩ,330 mA,167 mA,34%,
11kΩ,363 mA,183 mA,37%,
12kΩ,396 mA,200 mA,40%,near limit
13kΩ,429 mA,217 mA,44%,near limit
15kΩ,495 mA,250 mA,51%,>50% — invalid
"Formula: I_TERM = K_ITERM × R_ITERM / R_ISET where K_ITERM = 0.030 A (typ, USB500/ILIM mode). Max R_ITERM = 15kΩ. Max I_TERM = 50% of I_CHG. Your R11 = 3kΩ highlighted.",,,,
