R_TMR (E24),Max charge time,,Notes
18kΩ,2.40 hr (144 min),,
20kΩ,2.67 hr (160 min),,
22kΩ your R5,2.93 hr (176 min),,
24kΩ,3.20 hr (192 min),,
27kΩ,3.60 hr (216 min),,
30kΩ,4.00 hr (240 min),,
33kΩ,4.40 hr (264 min),,
36kΩ,4.80 hr (288 min),,
39kΩ,5.20 hr (312 min),,
43kΩ,5.73 hr (344 min),,
47kΩ,6.27 hr (376 min),,
51kΩ,6.80 hr (408 min),,
56kΩ,7.47 hr (448 min),,
62kΩ,8.27 hr (496 min),,
68kΩ,9.07 hr (544 min),,
Formula: t = 10 × 48 s/kΩ × R_TMR(kΩ) = 480 × R(kΩ) seconds. Your R5 = 22kΩ highlighted.,,,
