"Reference","DNP","Value","Package","Footprint","MFR#","LCSC#"
"+PACK01,+PACK02,+PACK03","DNP","+PACK","","","",""
"BT1","","Mollicell_P28A","","BatterySleds:BatteryHolder_HAN_BH-18650-1","",""
"C1","","0.1uF","0805","Capacitor_SMD:C_0805_2012Metric","GRM21BZ71A226ME15L",""
"C2","","4.7uF","0805","Capacitor_SMD:C_0805_2012Metric","GRM21BZ71A226ME15L",""
"C3","","2.2uF","0805","Capacitor_SMD:C_0805_2012Metric","GRM21BZ71A226ME15L",""
"C4","","1uF","0805","Capacitor_SMD:C_0805_2012Metric","GRM21BZ71A226ME15L",""
"LED1,LED2","","PGOOD","0805","LED_SMD:LED_0805_2012Metric","LS R976-NR-1-0-20-R18",""
"Q1","","DMN2014LHAB-7","","DFN:U-DFN2030-6","DMN2014LHAB-7",""
"Q2","","DMP3056L","","","",""
"R1,R2,R3,R6,R8,R9,R10,R12,R14,R15,R18,R24,R25,R26","DNP","0R","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805137KFKEA,CRCW0805768KFKEA",""
"R4","","910R","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R5","","22k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R7","","1.1k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R11","","3k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R13","","330R","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R16,R19,R23","","10k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R17","","2.2k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R20,R21","","1.5k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"R22","","100k","0805","Resistor_SMD:R_0805_2012Metric","CRCW0805768KFKEA",""
"SRX01,SRX02","","SRX","","","",""
"U1","","BQ24074RGT","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","",""
"U2","","BQ29728","","Package_SON:WSON-6_1.5x1.5mm_P0.5mm","",""
"U3","","BQ27427","","BGA:IC_BQ27427YZFR","",""
